product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,computers_accessories
automotivo,auto
cama_mesa_banho,bed_bath_table
moveis_decoracao,furniture_decor
esporte_lazer,sports_leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches_gifts
alimentos_bebidas,food_drink
bebes,baby
papelaria,stationery
tablet_impressao_imagem,tablets_printing_image
brinquedos,toys
telefonia_fixa,fixed_telephony
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,fashion_bags_accessories
eletroportateis,small_appliances
consoles_games,consoles_games
instrumentos_musicais,musical_instruments
eletrodomesticos,home_appliances
livros_interesse_geral,books_general_interest
construcao_ferramentas_construcao,construction_tools_construction
cool_stuff,cool_stuff
malas_acessorios,luggage_accessories
moveis_escritorio,office_furniture
eletronicos,electronics
pcs,computers
cds_dvds_musicais,cds_dvds_musicals
cine_foto,films_photography
livros_tecnicos,books_technical
pet_shop,pet_shop
fashion_calcados,fashion_shoes
flores,flowers
casa_construcao,home_construction
fashion_roupa_masculina,fashion_men_clothing
fashion_roupa_feminina,fashion_women_clothing
fashion_roupa_infanto_juvenil,fashion_children_clothes
fashion_underwear_e_moda_praia,fashion_underwear_beach
fashion_esporte,fashion_sport
seguros_e_servicos,security_and_services
artigos_de_natal,christmas_supplies
audio,audio
artes_e_artesanato,arts_and_craftmanship
sinalizacao_e_seguranca,signaling_and_security
agro_industria_e_comercio,agro_industry_and_commerce
industria_comercio_e_negocios,industry_commerce_and_business
moveis_sala,furniture_living_room
moveis_colchao_e_estofado,furniture_mattress_and_upholstery
climatizacao,air_conditioning
portateis_casa_forno_e_cafe,home_ovens_and_coffee
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
artigos_de_festas,party_supplies
la_cuisine,la_cuisine
dvds_blu_ray,dvds_blu_ray
pc_gamer,pc_gamer
casa_conforto,home_comfort
fraldas_higiene,diapers_and_hygiene
construcao_ferramentas_iluminacao,construction_tools_lights
construcao_ferramentas_jardim,construction_tools_garden
construcao_ferramentas_seguranca,construction_tools_safety
eletrodomesticos_2,home_appliances_2
portateis_cozinha_e_preparadores_de_alimentos,small_kitchen_appliances
